node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,22.0,18.0,289.0,536.0,914.0,124.571
2.0,32.0,25.0,592.0,1095.0,1868.0,176.417
3.0,10.0,8.0,147.0,273.0,465.0,142.5
4.0,21.0,17.0,277.0,512.0,873.0,126.0
5.0,14.0,11.0,648.0,1199.0,2045.0,456.5
6.0,14.0,11.0,138.0,254.0,434.0,96.667
7.0,16.0,13.0,60.0,111.0,188.0,35.5
8.0,34.0,27.0,456.0,844.0,1440.0,126.217
9.0,25.0,20.0,428.0,793.0,1353.0,166.0
10.0,26.0,21.0,452.0,838.0,1429.0,167.0
11.0,27.0,22.0,404.0,749.0,1277.0,142.5
12.0,11.0,9.0,403.0,745.0,1271.0,346.667
13.0,10.0,8.0,47.0,87.0,149.0,45.444
14.0,44.0,35.0,355.0,658.0,1121.0,76.452
15.0,16.0,13.0,397.0,736.0,1255.0,236.889
16.0,26.0,21.0,287.0,531.0,906.0,105.9
17.0,41.0,33.0,587.0,1088.0,1855.0,133.938
18.0,27.0,22.0,392.0,726.0,1237.0,138.063
19.0,10.0,8.0,37.0,67.0,115.0,35.0
20.0,19.0,15.0,331.0,614.0,1046.0,171.2
21.0,20.0,16.0,330.0,612.0,1043.0,160.0
22.0,10.0,8.0,37.0,67.0,115.0,35.0
23.0,14.0,11.0,75.0,139.0,236.0,52.571
24.0,32.0,25.0,702.0,1300.0,2217.0,209.333
25.0,39.0,31.0,408.0,756.0,1289.0,98.857
