node,InitCapacity,IncremCapacity,IncremCosts6,IncremCosts7,IncremCosts8,D
1.0,1413.0,1130.0,1119.0,2072.0,3534.0,7.37246
2.0,1480.0,1184.0,1206.0,2234.0,3810.0,7.587591
3.0,1217.0,974.0,951.0,1762.0,3006.0,7.27787
4.0,1312.0,1050.0,750.0,1389.0,2370.0,5.322314
5.0,993.0,794.0,459.0,851.0,1451.0,4.30674
6.0,1124.0,899.0,712.0,1319.0,2251.0,5.903061
7.0,1612.0,1290.0,1207.0,2236.0,3815.0,6.974328
8.0,877.0,701.0,827.0,1532.0,2613.0,8.78882
9.0,859.0,687.0,589.0,1092.0,1862.0,6.392037
10.0,1054.0,843.0,789.0,1462.0,2493.0,6.970745
11.0,1006.0,805.0,749.0,1387.0,2365.0,6.929009
12.0,1373.0,1099.0,1086.0,2012.0,3432.0,7.364835
13.0,1179.0,943.0,1421.0,2632.0,4489.0,11.224427
14.0,1828.0,1463.0,979.0,1814.0,3094.0,4.986923
15.0,1364.0,1091.0,886.0,1640.0,2798.0,6.046365
16.0,1131.0,905.0,1069.0,1980.0,3378.0,8.80303
17.0,1065.0,852.0,949.0,1759.0,3000.0,8.302817
18.0,1173.0,938.0,638.0,1182.0,2015.0,5.063961
19.0,1269.0,1015.0,1321.0,2447.0,4174.0,9.694707
20.0,1085.0,868.0,802.0,1485.0,2533.0,6.88
