2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance knapsack 20 2 cubic
feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       20 del vars, 40 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       20 del vars, 40 del conss, 0 add conss, 40 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present
presolving (3 rounds: 3 fast, 1 medium, 1 exhaustive):
 20 deleted vars, 40 deleted constraints, 0 added constraints, 40 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 40 variables (0 bin, 0 int, 0 impl, 40 cont) and 21 constraints
      1 constraints of type <linear>
     20 constraints of type <nonlinear>
Presolving Time: 0.00

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
t 0.0s|     1 |     0 |     0 |     - | trivial|   0 |  40 |  21 |   0 |   0 |  0 |   0 |   0 |-1.518174e+03 | 0.000000e+00 |    Inf | unknown
t 0.0s|     1 |     0 |     0 |     - |  trysol|   0 |  40 |  21 |   0 |   0 |  0 |   0 |   0 |-1.518174e+03 |-1.319793e+02 |1050.31%| unknown
  0.0s|     1 |     0 |   105 |     - |  1895k |   0 | 100 |  21 | 101 |   0 |  0 |   0 |   0 |-7.633028e+02 |-1.319793e+02 | 478.35%| unknown
L 0.0s|     1 |     0 |   105 |     - |undercov|   0 | 100 |  21 | 101 |   0 |  0 |   0 |   0 |-7.633028e+02 |-2.343315e+02 | 225.74%| unknown
L 0.1s|     1 |     0 |   105 |     - |undercov|   0 | 100 |  21 | 101 |   0 |  0 |   0 |   0 |-7.633028e+02 |-4.411670e+02 |  73.02%| unknown
L 0.1s|     1 |     0 |   105 |     - |  subnlp|   0 | 100 |  21 | 101 |   0 |  0 |   0 |   0 |-7.633028e+02 |-4.526345e+02 |  68.64%| unknown
  0.1s|     1 |     0 |   127 |     - |  1956k |   0 | 100 |  21 | 119 |  18 |  1 |   0 |   0 |-7.387840e+02 |-4.526345e+02 |  63.22%| unknown
  0.1s|     1 |     0 |   127 |     - |  1956k |   0 | 100 |  21 | 119 |  18 |  1 |   0 |   0 |-7.387840e+02 |-4.526345e+02 |  63.22%| unknown
  0.1s|     1 |     0 |   146 |     - |  1956k |   0 | 100 |  21 | 137 |  36 |  2 |   0 |   0 |-7.280448e+02 |-4.526345e+02 |  60.85%| unknown
  0.1s|     1 |     0 |   165 |     - |  1963k |   0 | 100 |  21 | 155 |  54 |  3 |   0 |   0 |-7.261927e+02 |-4.526345e+02 |  60.44%| unknown
  0.1s|     1 |     0 |   183 |     - |  1963k |   0 | 100 |  21 | 173 |  72 |  4 |   0 |   0 |-7.254839e+02 |-4.526345e+02 |  60.28%| unknown
  0.1s|     1 |     0 |   201 |     - |  2031k |   0 | 100 |  21 | 191 |  90 |  5 |   0 |   0 |-7.253450e+02 |-4.526345e+02 |  60.25%| unknown
  0.1s|     1 |     0 |   218 |     - |  2031k |   0 | 100 |  21 | 209 | 108 |  6 |   0 |   0 |-7.253110e+02 |-4.526345e+02 |  60.24%| unknown
  0.1s|     1 |     0 |   235 |     - |  2031k |   0 | 100 |  21 | 227 | 126 |  7 |   0 |   0 |-7.253034e+02 |-4.526345e+02 |  60.24%| unknown
  0.1s|     1 |     0 |   256 |     - |  2037k |   0 | 100 |  21 | 245 | 144 |  8 |   0 |   0 |-7.252996e+02 |-4.526345e+02 |  60.24%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
