2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance knapsack 20 8 divexp
feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       20 del vars, 40 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       20 del vars, 40 del conss, 0 add conss, 40 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present
presolving (3 rounds: 3 fast, 1 medium, 1 exhaustive):
 20 deleted vars, 40 deleted constraints, 0 added constraints, 40 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 40 variables (0 bin, 0 int, 0 impl, 40 cont) and 21 constraints
      1 constraints of type <linear>
     20 constraints of type <nonlinear>
Presolving Time: 0.00

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
t 0.0s|     1 |     0 |     0 |     - | trivial|   0 |  40 |  21 |   0 |   0 |  0 |   0 |   0 |-6.851149e+02 | 0.000000e+00 |    Inf | unknown
t 0.0s|     1 |     0 |     0 |     - |  trysol|   0 |  40 |  21 |   0 |   0 |  0 |   0 |   0 |-6.851149e+02 |-2.463555e+00 |  Large | unknown
  0.0s|     1 |     0 |   135 |     - |  2073k |   0 | 100 |  21 | 133 |   0 |  0 |   0 |   0 |-6.851148e+02 |-2.463555e+00 |  Large | unknown
L 0.0s|     1 |     0 |   135 |     - |undercov|   0 | 100 |  21 | 133 |   0 |  0 |   0 |   0 |-6.851148e+02 |-3.783485e+02 |  81.08%| unknown
L 0.1s|     1 |     0 |   135 |     - |undercov|   0 | 100 |  21 | 133 |   0 |  0 |   0 |   0 |-6.851148e+02 |-5.803388e+02 |  18.05%| unknown
L 0.1s|     1 |     0 |   135 |     - |  subnlp|   0 | 100 |  21 | 133 |   0 |  0 |   0 |   0 |-6.851148e+02 |-6.057147e+02 |  13.11%| unknown
  0.1s|     1 |     0 |   153 |     - |  2168k |   0 | 100 |  21 | 149 |  16 |  1 |   0 |   0 |-6.851147e+02 |-6.057147e+02 |  13.11%| unknown
  0.1s|     1 |     0 |   153 |     - |  2168k |   0 | 100 |  21 | 149 |  16 |  1 |   0 |   0 |-6.851147e+02 |-6.057147e+02 |  13.11%| unknown
  0.1s|     1 |     0 |   173 |     - |  2168k |   0 | 100 |  21 | 165 |  32 |  2 |   0 |   0 |-6.851038e+02 |-6.057147e+02 |  13.11%| unknown
  0.1s|     1 |     0 |   189 |     - |  2192k |   0 | 100 |  21 | 181 |  48 |  3 |   0 |   0 |-6.850899e+02 |-6.057147e+02 |  13.10%| unknown
  0.1s|     1 |     0 |   206 |     - |  2252k |   0 | 100 |  21 | 197 |  64 |  4 |   0 |   0 |-6.850846e+02 |-6.057147e+02 |  13.10%| unknown
  0.1s|     1 |     0 |   222 |     - |  2252k |   0 | 100 |  21 | 213 |  80 |  5 |   0 |   0 |-6.850821e+02 |-6.057147e+02 |  13.10%| unknown
  0.1s|     1 |     0 |   240 |     - |  2252k |   0 | 100 |  21 | 229 |  96 |  6 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.1s|     1 |     0 |   285 |     - |  2252k |   0 | 100 |  21 | 245 | 112 |  7 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.1s|     1 |     0 |   311 |     - |  2270k |   0 | 100 |  21 | 259 | 126 |  8 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |   324 |     - |  2270k |   0 | 100 |  21 | 273 | 140 |  9 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.1s|     1 |     0 |   344 |     - |  2270k |   0 | 100 |  21 | 201 | 153 | 10 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.1s|     1 |     0 |   355 |     - |  2270k |   0 | 100 |  21 | 212 | 164 | 11 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.2s|     1 |     0 |   688 |     - |  2272k |   0 | 100 |  21 | 212 | 164 | 11 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.2s|     1 |     0 |   703 |     - |  2272k |   0 | 100 |  21 | 222 | 174 | 12 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.2s|     1 |     0 |   716 |     - |  2272k |   0 | 100 |  21 | 231 | 183 | 13 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.2s|     1 |     0 |   724 |     - |  2272k |   0 | 100 |  21 | 238 | 190 | 14 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.2s|     1 |     0 |   729 |     - |  2272k |   0 | 100 |  21 | 242 | 194 | 15 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.2s|     1 |     0 |   731 |     - |  2272k |   0 | 100 |  21 | 177 | 196 | 16 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.2s|     1 |     0 |   732 |     - |  2272k |   0 | 100 |  21 | 178 | 197 | 17 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
  0.2s|     1 |     0 |   733 |     - |  2272k |   0 | 100 |  21 | 179 | 198 | 18 |   0 |   0 |-6.850812e+02 |-6.057147e+02 |  13.10%| unknown
L 0.2s|     1 |     0 |   733 |     - |  subnlp|   0 | 100 |  21 | 179 | 198 | 20 |   0 |   0 |-6.850812e+02 |-6.148096e+02 |  11.43%| unknown
  0.2s|     1 |     0 |   733 |     - |  2272k |   0 | 100 |  21 | 179 | 198 | 20 |   0 |   0 |-6.850812e+02 |-6.148096e+02 |  11.43%| unknown
  0.2s|     1 |     0 |   736 |     - |  2272k |   0 | 100 |  21 | 182 | 201 | 22 |   0 |   0 |-6.850812e+02 |-6.148096e+02 |  11.43%| unknown
  0.2s|     1 |     0 |   737 |     - |  2272k |   0 | 100 |  21 | 183 | 202 | 24 |   0 |   0 |-6.850812e+02 |-6.148096e+02 |  11.43%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.2s|     1 |     2 |   737 |     - |  2277k |   0 | 100 |  21 | 183 | 202 | 26 |   0 |   0 |-6.850812e+02 |-6.148096e+02 |  11.43%| unknown
  1.0s|   100 |    81 | 23195 | 230.2 |  4601k |  15 | 100 |  21 | 490 |  14k| 14 |   0 |   0 |-6.823721e+02 |-6.148096e+02 |  10.99%|   6.41%
  1.8s|   200 |   171 | 47728 | 237.8 |  7389k |  19 | 100 |  21 | 543 |  28k| 10 |   0 |   0 |-6.723181e+02 |-6.148096e+02 |   9.35%|  14.15%
  2.5s|   300 |   251 | 68717 | 228.5 |    10M |  22 | 100 |  21 | 442 |  40k| 17 |   0 |   0 |-6.652862e+02 |-6.148096e+02 |   8.21%|  20.43%
  3.2s|   400 |   325 | 88236 | 220.1 |    12M |  24 | 100 |  21 | 587 |  52k|  1 |   0 |   0 |-6.616016e+02 |-6.148096e+02 |   7.61%|  27.56%
  3.9s|   500 |   405 |108170 | 216.0 |    14M |  24 | 100 |  21 | 464 |  64k| 12 |   0 |   0 |-6.614054e+02 |-6.148096e+02 |   7.58%|  29.90%
  4.6s|   600 |   465 |128427 | 213.7 |    16M |  25 | 100 |  21 | 382 |  75k|  2 |   0 |   0 |-6.607953e+02 |-6.148096e+02 |   7.48%|  31.79%
  5.3s|   700 |   539 |147631 | 210.6 |    19M |  25 | 100 |  21 | 435 |  87k|  1 |   0 |   0 |-6.591081e+02 |-6.148096e+02 |   7.21%|  34.78%
  6.0s|   800 |   613 |166839 | 208.3 |    20M |  25 | 100 |  21 | 531 |  98k| 15 |   0 |   0 |-6.575348e+02 |-6.148096e+02 |   6.95%|  35.94%
  6.7s|   900 |   689 |186336 | 206.8 |    22M |  25 | 100 |  21 | 406 | 109k| 13 |   0 |   0 |-6.553337e+02 |-6.148096e+02 |   6.59%|  37.66%
t 7.1s|   966 |   601 |197053 | 203.8 |  trysol|  25 | 100 |  21 |   0 | 115k|  0 |   0 |   0 |-6.547230e+02 |-6.248738e+02 |   4.78%|  41.19%
t 7.2s|   989 |   560 |200017 | 202.0 |  trysol|  25 | 100 |  21 |   0 | 117k|  0 |   0 |   0 |-6.547230e+02 |-6.270572e+02 |   4.41%|  42.37%
  7.3s|  1000 |   569 |201861 | 201.7 |    25M |  25 | 100 |  21 | 708 | 118k| 13 |   0 |   0 |-6.547230e+02 |-6.270572e+02 |   4.41%|  42.61%
  7.9s|  1100 |   607 |216054 | 196.2 |    25M |  25 | 100 |  21 | 585 | 126k|  1 |   0 |   0 |-6.526184e+02 |-6.270572e+02 |   4.08%|  45.50%
t 8.3s|  1177 |   631 |225547 | 191.4 |  trysol|  26 | 100 |  21 |   0 | 131k|  0 |   0 |   0 |-6.519122e+02 |-6.271130e+02 |   3.95%|  47.36%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  8.4s|  1200 |   632 |228465 | 190.2 |    25M |  26 | 100 |  21 | 757 | 133k|  0 |   0 |   0 |-6.519122e+02 |-6.271130e+02 |   3.95%|  48.00%
  8.9s|  1300 |   672 |240697 | 185.0 |    26M |  26 | 100 |  21 | 571 | 140k| 12 |   0 |   0 |-6.495790e+02 |-6.271130e+02 |   3.58%|  50.08%
d 9.4s|  1400 |   720 |253310 | 180.8 |fracdivi|  27 | 100 |  21 | 509 | 147k| 13 |   0 |   0 |-6.485279e+02 |-6.273060e+02 |   3.38%|  59.68%
  9.9s|  1500 |   724 |263440 | 175.5 |    28M |  27 | 100 |  21 |   0 | 152k|  0 |   0 |   0 |-6.459638e+02 |-6.273060e+02 |   2.97%|  62.28%
 10.3s|  1600 |   782 |274156 | 171.2 |    29M |  28 | 100 |  21 | 653 | 158k| 11 |   0 |   0 |-6.449717e+02 |-6.273060e+02 |   2.82%|  63.44%
 10.7s|  1700 |   820 |283419 | 166.6 |    30M |  28 | 100 |  21 | 706 | 163k| 16 |   0 |   0 |-6.442159e+02 |-6.273060e+02 |   2.70%|  64.61%
 11.1s|  1800 |   812 |291913 | 162.0 |    31M |  28 | 100 |  21 | 723 | 167k| 10 |   0 |   0 |-6.438441e+02 |-6.273060e+02 |   2.64%|  71.54%
 11.5s|  1900 |   818 |300662 | 158.1 |    32M |  28 | 100 |  21 | 660 | 172k|  8 |   0 |   0 |-6.431456e+02 |-6.273060e+02 |   2.53%|  72.91%
 11.8s|  2000 |   810 |308394 | 154.1 |    32M |  28 | 100 |  21 | 722 | 176k|  0 |   0 |   0 |-6.429759e+02 |-6.273060e+02 |   2.50%|  74.59%
 12.2s|  2100 |   806 |316168 | 150.4 |    33M |  28 | 100 |  21 | 723 | 181k|  9 |   0 |   0 |-6.421389e+02 |-6.273060e+02 |   2.36%|  76.11%
 12.5s|  2200 |   792 |323233 | 146.8 |    33M |  28 | 100 |  21 | 710 | 184k| 15 |   0 |   0 |-6.419865e+02 |-6.273060e+02 |   2.34%|  77.65%
 12.8s|  2300 |   764 |329749 | 143.3 |    33M |  28 | 100 |  21 | 451 | 188k| 11 |   0 |   0 |-6.417005e+02 |-6.273060e+02 |   2.29%|  79.55%
