solving instance mcf nodes c40 3 6 log
presolving:
(round 1, fast)       248 del vars, 248 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       476 del vars, 248 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 3, fast)       476 del vars, 248 del conss, 0 add conss, 20 chg bounds, 228 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.4s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.5s) no symmetry present (symcode time: 0.02)
presolving (4 rounds: 4 fast, 1 medium, 1 exhaustive):
 476 deleted vars, 248 deleted constraints, 0 added constraints, 20 tightened bounds, 0 added holes, 228 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 45640 variables (0 bin, 0 int, 0 impl, 45640 cont) and 4268 constraints
   4248 constraints of type <linear>
     20 constraints of type <nonlinear>
Presolving Time: 0.42

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 16.8s|     1 |     0 | 27403 |     - |   252M |   0 |  45k|4268 |4288 |   0 |  0 |   0 |   0 | 7.051426e+03 |      --      |    Inf | unknown
L52.0s|     1 |     0 | 27403 |     - |  subnlp|   0 |  45k|4268 |4288 |   0 |  0 |   0 |   0 | 7.051426e+03 | 1.424227e+04 | 101.98%| unknown
 52.1s|     1 |     0 | 27403 |     - |   255M |   0 |  45k|4268 |4288 |   0 |  1 |   0 |   0 | 7.051426e+03 | 1.424227e+04 | 101.98%| unknown
  114s|     1 |     2 | 27403 |     - |   258M |   0 |  45k|4268 |4288 |   0 |  2 |   0 |   0 | 7.051426e+03 | 1.424227e+04 | 101.98%| unknown
  178s|   100 |    99 | 54033 | 269.0 |   269M |  11 |  45k|4268 |4300 | 105 |  2 |   1 |   0 | 8.084399e+03 | 1.424227e+04 |  76.17%| unknown
  199s|   200 |   199 | 83563 | 282.2 |   271M |  11 |  45k|4268 |4298 | 216 |  2 |   1 |   0 | 8.651600e+03 | 1.424227e+04 |  64.62%| unknown
  223s|   300 |   299 |116107 | 296.7 |   271M |  12 |  45k|4268 |4299 | 320 |  2 |   1 |   0 | 8.762438e+03 | 1.424227e+04 |  62.54%| unknown
  243s|   400 |   399 |141863 | 286.9 |   272M |  13 |  45k|4268 |4298 | 422 |  2 |   1 |   0 | 8.932847e+03 | 1.424227e+04 |  59.44%| unknown
  266s|   500 |   499 |172350 | 290.5 |   273M |  13 |  45k|4268 |4297 | 525 |  2 |   1 |   0 | 9.056913e+03 | 1.424227e+04 |  57.25%| unknown
  335s|   600 |   599 |200163 | 288.4 |   273M |  14 |  45k|4268 |4296 | 625 |  2 |   1 |   0 | 9.138431e+03 | 1.424227e+04 |  55.85%| unknown
  354s|   700 |   699 |223248 | 280.2 |   274M |  15 |  45k|4268 |4296 | 727 |  2 |   1 |   0 | 9.185009e+03 | 1.424227e+04 |  55.06%| unknown
  374s|   800 |   799 |245819 | 273.4 |   276M |  15 |  45k|4268 |4298 | 828 |  2 |   1 |   0 | 9.264337e+03 | 1.424227e+04 |  53.73%| unknown
