solving instance mcnd arcs c41 3 6 sqrt
presolving:
(round 1, fast)       20 del vars, 20 del conss, 0 add conss, 288 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       40 del vars, 20 del conss, 0 add conss, 288 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 3, exhaustive) 40 del vars, 20 del conss, 0 add conss, 288 chg bounds, 0 chg sides, 0 chg coeffs, 11808 upgd conss, 0 impls, 0 clqs
   (0.2s) probing: 51/288 (17.7%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.2s) probing aborted: 50/50 successive totally useless probings
   (0.2s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.3s) no symmetry present (symcode time: 0.03)
presolving (4 rounds: 4 fast, 2 medium, 2 exhaustive):
 40 deleted vars, 20 deleted constraints, 0 added constraints, 288 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 11808 implications, 0 cliques
presolved problem has 12384 variables (288 bin, 0 int, 0 impl, 12096 cont) and 13492 constraints
  11808 constraints of type <varbound>
   1396 constraints of type <linear>
    288 constraints of type <nonlinear>
Presolving Time: 0.28

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
t22.1s|     1 |     0 | 33517 |     - |  trysol|   0 |  12k|  13k|  13k|   0 |  0 |   0 |   0 |-5.493164e-04 | 1.111388e+06 |    Inf | unknown
 66.2s|     1 |     0 | 65445 |     - |   111M |   0 |  12k|  13k|  13k|   0 |  0 |   0 |   0 | 4.456543e+05 | 1.111388e+06 | 149.38%| unknown
t67.4s|     1 |     0 | 65843 |     - |  trysol|   0 |  12k|  13k|  13k|   0 |  0 |   0 |   0 | 4.456543e+05 | 7.954730e+05 |  78.50%| unknown
 67.7s|     1 |     0 | 65965 |     - |   116M |   0 |  12k|  13k|  13k|   1 |  1 |   0 |   0 | 4.459113e+05 | 7.954730e+05 |  78.39%| unknown
 67.8s|     1 |     0 | 65965 |     - |   116M |   0 |  12k|  13k|  13k|   1 |  1 |   0 |   0 | 4.459113e+05 | 7.954730e+05 |  78.39%| unknown
 68.1s|     1 |     0 | 66019 |     - |   117M |   0 |  12k|  13k|  13k|   2 |  2 |   0 |   0 | 4.459683e+05 | 7.954730e+05 |  78.37%| unknown
 68.4s|     1 |     0 | 66142 |     - |   119M |   0 |  12k|  13k|  13k|   3 |  3 |   0 |   0 | 4.462254e+05 | 7.954730e+05 |  78.27%| unknown
 71.7s|     1 |     0 | 66259 |     - |   120M |   0 |  12k|  13k|  13k|   4 |  4 |   0 |   0 | 4.464112e+05 | 7.954730e+05 |  78.19%| unknown
 72.0s|     1 |     0 | 66268 |     - |   122M |   0 |  12k|  13k|  13k|   5 |  5 |   0 |   0 | 4.464254e+05 | 7.954730e+05 |  78.19%| unknown
 72.3s|     1 |     0 | 66301 |     - |   123M |   0 |  12k|  13k|  13k|   6 |  6 |   0 |   0 | 4.464683e+05 | 7.954730e+05 |  78.17%| unknown
 72.5s|     1 |     0 | 66320 |     - |   125M |   0 |  12k|  13k|  13k|   7 |  7 |   0 |   0 | 4.465206e+05 | 7.954730e+05 |  78.15%| unknown
 72.8s|     1 |     0 | 66348 |     - |   126M |   0 |  12k|  13k|  13k|   8 |  8 |   0 |   0 | 4.466253e+05 | 7.954730e+05 |  78.11%| unknown
 73.1s|     1 |     0 | 66397 |     - |   127M |   0 |  12k|  13k|  13k|   9 |  9 |   0 |   0 | 4.466753e+05 | 7.954730e+05 |  78.09%| unknown
 73.3s|     1 |     0 | 66435 |     - |   129M |   0 |  12k|  13k|  13k|  10 | 10 |   0 |   0 | 4.467394e+05 | 7.954730e+05 |  78.06%| unknown
 73.6s|     1 |     0 | 66448 |     - |   130M |   0 |  12k|  13k|  13k|  11 | 11 |   0 |   0 | 4.467535e+05 | 7.954730e+05 |  78.06%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
L 524s|     1 |     0 |402580 |     - |    rens|   0 |  12k|  13k|  13k|  11 | 12 |   0 |   0 | 4.467535e+05 | 7.530860e+05 |  68.57%| unknown
 1266s|     1 |     0 |402580 |     - |   138M |   0 |  12k|  13k|  13k|  11 | 12 |   0 |   0 | 4.467535e+05 | 7.530860e+05 |  68.57%| unknown
 1375s|     1 |     2 |490594 |     - |   138M |   0 |  12k|  13k|  13k|  11 | 13 |   0 |   4 | 4.470564e+05 | 7.530860e+05 |  68.45%| unknown
 1481s|   100 |   101 |549361 |5216.5 |   158M |  22 |  12k|  13k|  13k|  23 |  1 |   2 |  73 | 4.470564e+05 | 7.530860e+05 |  68.45%| unknown
 1946s|   200 |   201 |549665 |2596.7 |   163M | 122 |  12k|  13k|  13k|  26 |  1 |   2 |  73 | 4.470564e+05 | 7.530860e+05 |  68.45%| unknown
L1962s|   201 |   202 |549665 |2583.7 |crossove| 123 |  12k|  13k|  13k|  26 |  1 |   2 |  73 | 4.470564e+05 | 7.418935e+05 |  65.95%| unknown
 1964s|   300 |   301 |549794 |1728.6 |   166M | 217 |  12k|  13k|  13k|  27 |  1 |   2 |  73 | 4.470564e+05 | 7.418935e+05 |  65.95%| unknown
 1973s|   400 |   401 |552972 |1303.4 |   166M | 217 |  12k|  13k|  13k|  31 |  1 |   2 |  85 | 4.470564e+05 | 7.418935e+05 |  65.95%| unknown
 2016s|   500 |   501 |567280 |1070.8 |   169M | 217 |  12k|  13k|  13k|  59 |  1 |   2 |  99 | 4.470564e+05 | 7.418935e+05 |  65.95%| unknown
 2067s|   600 |   601 |595334 | 938.9 |   174M | 217 |  12k|  13k|  13k|  82 |  1 |   2 | 143 | 4.470564e+05 | 7.418935e+05 |  65.95%| unknown
 2090s|   700 |   701 |613061 | 829.9 |   176M | 217 |  12k|  13k|  13k| 101 |  1 |   2 | 164 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2144s|   800 |   801 |645726 | 767.0 |   177M | 217 |  12k|  13k|  13k| 139 |  1 |   2 | 175 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2193s|   900 |   901 |689447 | 730.3 |   179M | 217 |  12k|  13k|  13k| 170 |  1 |   4 | 212 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2211s|  1000 |  1001 |706235 | 674.0 |   179M | 217 |  12k|  13k|  13k| 195 |  1 |   4 | 222 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2249s|  1100 |  1101 |730410 | 634.6 |   180M | 217 |  12k|  13k|  13k| 209 |  1 |   4 | 270 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 2306s|  1200 |  1201 |774101 | 618.2 |   182M | 217 |  12k|  13k|  13k| 237 |  2 |   4 | 275 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2329s|  1300 |  1301 |797756 | 588.8 |   182M | 217 |  12k|  13k|  13k| 272 |  2 |   4 | 283 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2398s|  1400 |  1401 |843080 | 579.1 |   185M | 217 |  12k|  13k|  13k| 310 |  1 |   4 | 295 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2521s|  1500 |  1501 |922179 | 593.2 |   188M | 217 |  12k|  13k|  13k| 341 |  1 |   4 | 318 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2548s|  1600 |  1601 |942132 | 568.6 |   190M | 217 |  12k|  13k|  13k| 364 |  1 |   4 | 327 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2579s|  1700 |  1701 |977224 | 555.8 |   192M | 217 |  12k|  13k|  13k| 405 |  3 |   4 | 333 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2617s|  1800 |  1801 |  1016k| 546.7 |   193M | 217 |  12k|  13k|  13k| 442 |  1 |   4 | 340 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2687s|  1900 |  1901 |  1062k| 542.2 |   194M | 217 |  12k|  13k|  13k| 461 |  1 |   4 | 342 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2708s|  2000 |  2001 |  1083k| 525.8 |   195M | 217 |  12k|  13k|  13k| 487 |  2 |   4 | 348 | 4.473395e+05 | 7.418935e+05 |  65.85%| unknown
 2729s|  2100 |  2101 |  1105k| 511.1 |   195M | 217 |  12k|  13k|  13k| 509 |  2 |   4 | 355 | 4.474580e+05 | 7.418935e+05 |  65.80%| unknown
t2739s|  2118 |  2117 |  1114k| 511.0 |  trysol| 217 |  12k|  13k|   0 | 520 |  0 |   4 | 363 | 4.474580e+05 | 7.414193e+05 |  65.70%| unknown
 2753s|  2200 |  2201 |  1128k| 498.3 |   196M | 217 |  12k|  13k|  13k| 536 |  1 |   4 | 368 | 4.474580e+05 | 7.414193e+05 |  65.70%| unknown
 2786s|  2300 |  2301 |  1162k| 491.4 |   197M | 217 |  12k|  13k|  13k| 561 |  1 |   4 | 384 | 4.474580e+05 | 7.414193e+05 |  65.70%| unknown
 2816s|  2400 |  2401 |  1192k| 483.2 |   197M | 217 |  12k|  13k|  13k| 584 |  1 |   4 | 392 | 4.474580e+05 | 7.414193e+05 |  65.70%| unknown
 2839s|  2500 |  2501 |  1214k| 472.6 |   198M | 217 |  12k|  13k|  13k| 607 |  1 |   4 | 403 | 4.474580e+05 | 7.414193e+05 |  65.70%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 2867s|  2600 |  2601 |  1239k| 464.3 |   201M | 217 |  12k|  13k|  13k| 634 |  1 |   4 | 414 | 4.474580e+05 | 7.414193e+05 |  65.70%| unknown
 2924s|  2700 |  2701 |  1303k| 470.6 |   201M | 217 |  12k|  13k|  13k| 681 |  1 |   4 | 435 | 4.474580e+05 | 7.414193e+05 |  65.70%| unknown
 2948s|  2800 |  2801 |  1324k| 461.3 |   201M | 217 |  12k|  13k|  13k| 707 |  1 |   4 | 458 | 4.474580e+05 | 7.414193e+05 |  65.70%| unknown
 2997s|  2900 |  2901 |  1370k| 461.4 |   204M | 217 |  12k|  13k|  13k| 741 |  2 |   4 | 486 | 4.474580e+05 | 7.414193e+05 |  65.70%| unknown
L3011s|  2901 |  2902 |  1370k| 461.2 |    gins| 217 |  12k|  13k|  13k| 741 |  1 |   4 | 486 | 4.474580e+05 | 7.288093e+05 |  62.88%| unknown
 3062s|  3000 |  3001 |  1407k| 458.4 |   205M | 217 |  12k|  13k|  13k| 784 |  2 |   4 | 493 | 4.474580e+05 | 7.288093e+05 |  62.88%| unknown
