solving instance mcnd nodes c44 3 6 exp
presolving:
(round 1, fast)       294 del vars, 294 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, exhaustive) 294 del vars, 588 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 3, exhaustive) 294 del vars, 588 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 11780 upgd conss, 0 impls, 0 clqs
   (0.3s) probing: 71/314 (22.6%) - 19 fixings, 0 aggregations, 1033 implications, 0 bound changes
   (0.3s) probing aborted: 50/50 successive totally useless probings
(round 4, exhaustive) 313 del vars, 588 del conss, 0 add conss, 20 chg bounds, 0 chg sides, 0 chg coeffs, 11780 upgd conss, 12813 impls, 0 clqs
(round 5, fast)       313 del vars, 607 del conss, 0 add conss, 39 chg bounds, 0 chg sides, 0 chg coeffs, 11780 upgd conss, 12813 impls, 0 clqs
   (0.4s) probing: 76/314 (24.2%) - 19 fixings, 0 aggregations, 1033 implications, 0 bound changes
   (0.4s) probing aborted: 50/50 successive totally useless probings
   (0.4s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.4s) no symmetry present (symcode time: 0.02)
presolving (6 rounds: 6 fast, 4 medium, 4 exhaustive):
 313 deleted vars, 607 deleted constraints, 0 added constraints, 39 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 12813 implications, 0 cliques
presolved problem has 12095 variables (295 bin, 0 int, 0 impl, 11800 cont) and 12895 constraints
  11761 constraints of type <varbound>
   1114 constraints of type <linear>
     20 constraints of type <nonlinear>
Presolving Time: 0.38

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
t 5.1s|     1 |     0 | 13987 |     - |  trysol|   0 |  12k|  12k|  13k|   0 |  0 |   0 |   0 | 4.760615e+04 | 8.683928e+05 |1724.12%| unknown
 56.8s|     1 |     0 | 50121 |     - |   107M |   0 |  12k|  12k|  13k|   0 |  0 |   0 |   0 | 8.826637e+04 | 8.683928e+05 | 883.83%| unknown
t 135s|     1 |     0 |113398 |     - |  trysol|   0 |  12k|  12k|  13k|   0 |  0 |   0 |   0 | 8.826637e+04 | 3.362799e+05 | 280.98%| unknown
  152s|     1 |     0 |125204 |     - |   111M |   0 |  12k|  12k|  13k|  16 |  1 |   0 |   0 | 8.865557e+04 | 3.362799e+05 | 279.31%| unknown
  153s|     1 |     0 |125204 |     - |   111M |   0 |  12k|  12k|  13k|  16 |  1 |   0 |   0 | 8.865557e+04 | 3.362799e+05 | 279.31%| unknown
  160s|     1 |     0 |130589 |     - |   112M |   0 |  12k|  12k|  13k|  33 |  2 |   0 |   0 | 8.874504e+04 | 3.362799e+05 | 278.93%| unknown
  168s|     1 |     0 |136722 |     - |   114M |   0 |  12k|  12k|  13k|  44 |  3 |   0 |   0 | 8.877497e+04 | 3.362799e+05 | 278.80%| unknown
  173s|     1 |     0 |141039 |     - |   115M |   0 |  12k|  12k|  13k|  60 |  4 |   0 |   0 | 8.885201e+04 | 3.362799e+05 | 278.47%| unknown
  176s|     1 |     0 |143039 |     - |   116M |   0 |  12k|  12k|  13k|  74 |  5 |   0 |   0 | 8.887385e+04 | 3.362799e+05 | 278.38%| unknown
  179s|     1 |     0 |144430 |     - |   118M |   0 |  12k|  12k|  13k|  86 |  6 |   0 |   0 | 8.889082e+04 | 3.362799e+05 | 278.31%| unknown
  182s|     1 |     0 |146711 |     - |   119M |   0 |  12k|  12k|  13k|  96 |  7 |   0 |   0 | 8.892183e+04 | 3.362799e+05 | 278.17%| unknown
  185s|     1 |     0 |148870 |     - |   120M |   0 |  12k|  12k|  13k| 106 |  8 |   0 |   0 | 8.894384e+04 | 3.362799e+05 | 278.08%| unknown
  188s|     1 |     0 |150790 |     - |   122M |   0 |  12k|  12k|  13k| 116 |  9 |   0 |   0 | 8.897335e+04 | 3.362799e+05 | 277.96%| unknown
  190s|     1 |     0 |151891 |     - |   123M |   0 |  12k|  12k|  13k| 125 | 10 |   0 |   0 | 8.899579e+04 | 3.362799e+05 | 277.86%| unknown
