2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance transportation 5 1 sinabc3
presolving:
(round 1, fast)       25 del vars, 25 del conss, 0 add conss, 25 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 25 deleted vars, 25 deleted constraints, 0 added constraints, 25 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 50 variables (0 bin, 0 int, 0 impl, 50 cont) and 35 constraints
     10 constraints of type <linear>
     25 constraints of type <nonlinear>
Presolving Time: 0.00

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   198 |     - |  2661k |   0 | 125 |  35 | 235 |   0 |  0 |   0 |   0 | 2.844290e+01 |      --      |    Inf | unknown
L 0.0s|     1 |     0 |   198 |     - |undercov|   0 | 125 |  35 | 235 |   0 |  0 |   0 |   0 | 2.844290e+01 | 1.324280e+02 | 365.59%| unknown
L 0.1s|     1 |     0 |   198 |     - |undercov|   0 | 125 |  35 | 235 |   0 |  0 |   0 |   0 | 2.844290e+01 | 5.495773e+01 |  93.22%| unknown
  0.1s|     1 |     0 |   226 |     - |  2883k |   0 | 125 |  35 | 259 |  24 |  1 |   0 |   0 | 3.143896e+01 | 5.495773e+01 |  74.81%| unknown
  0.1s|     1 |     0 |   226 |     - |  2883k |   0 | 125 |  35 | 259 |  24 |  1 |   0 |   0 | 3.143896e+01 | 5.495773e+01 |  74.81%| unknown
  0.1s|     1 |     0 |   241 |     - |  2887k |   0 | 125 |  35 | 272 |  37 |  2 |   0 |   0 | 3.191277e+01 | 5.495773e+01 |  72.21%| unknown
  0.1s|     1 |     0 |   247 |     - |  2887k |   0 | 125 |  35 | 278 |  43 |  3 |   0 |   0 | 3.192785e+01 | 5.495773e+01 |  72.13%| unknown
  0.1s|     1 |     0 |   251 |     - |  2887k |   0 | 125 |  35 | 282 |  47 |  4 |   0 |   0 | 3.193805e+01 | 5.495773e+01 |  72.08%| unknown
  0.1s|     1 |     0 |   253 |     - |  2887k |   0 | 125 |  35 | 284 |  49 |  5 |   0 |   0 | 3.193873e+01 | 5.495773e+01 |  72.07%| unknown
  0.1s|     1 |     0 |   255 |     - |  2887k |   0 | 125 |  35 | 286 |  51 |  6 |   0 |   0 | 3.193898e+01 | 5.495773e+01 |  72.07%| unknown
  0.1s|     1 |     0 |   257 |     - |  2889k |   0 | 125 |  35 | 288 |  53 |  7 |   0 |   0 | 3.193900e+01 | 5.495773e+01 |  72.07%| unknown
  0.1s|     1 |     0 |   259 |     - |  2889k |   0 | 125 |  35 | 289 |  54 |  8 |   0 |   0 | 3.193912e+01 | 5.495773e+01 |  72.07%| unknown
  0.1s|     1 |     0 |   260 |     - |  2889k |   0 | 125 |  35 | 290 |  55 |  9 |   0 |   0 | 3.193924e+01 | 5.495773e+01 |  72.07%| unknown
  0.1s|     1 |     0 |   261 |     - |  2889k |   0 | 125 |  35 | 291 |  56 | 10 |   0 |   0 | 3.193925e+01 | 5.495773e+01 |  72.07%| unknown
  0.1s|     1 |     0 |   262 |     - |  2889k |   0 | 125 |  35 | 130 |  57 | 11 |   0 |   0 | 3.193932e+01 | 5.495773e+01 |  72.07%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |   263 |     - |  2889k |   0 | 125 |  35 | 131 |  58 | 12 |   0 |   0 | 3.193933e+01 | 5.495773e+01 |  72.07%| unknown
  0.1s|     1 |     0 |   264 |     - |  2889k |   0 | 125 |  35 | 132 |  59 | 13 |   0 |   0 | 3.193937e+01 | 5.495773e+01 |  72.07%| unknown
  0.2s|     1 |     0 |   876 |     - |  2894k |   0 | 125 |  35 | 132 |  59 | 14 |   0 |   0 | 3.193937e+01 | 5.495773e+01 |  72.07%| unknown
  0.2s|     1 |     0 |   879 |     - |  2894k |   0 | 125 |  35 | 136 |  63 | 16 |   0 |   0 | 3.193941e+01 | 5.495773e+01 |  72.07%| unknown
  0.2s|     1 |     0 |   881 |     - |  2894k |   0 | 125 |  35 | 138 |  65 | 17 |   0 |   0 | 3.193941e+01 | 5.495773e+01 |  72.07%| unknown
  0.2s|     1 |     0 |   883 |     - |  2894k |   0 | 125 |  35 | 140 |  67 | 18 |   0 |   0 | 3.193942e+01 | 5.495773e+01 |  72.07%| unknown
  0.2s|     1 |     2 |   883 |     - |  2900k |   0 | 125 |  35 | 140 |  67 | 20 |   0 |   0 | 3.193942e+01 | 5.495773e+01 |  72.07%| unknown
  0.5s|   100 |   101 |  3682 |  34.5 |  3621k |  14 | 125 |  35 | 167 |2120 |  6 |   0 |   0 | 3.362507e+01 | 5.495773e+01 |  63.44%| unknown
  0.8s|   200 |   201 |  6338 |  30.5 |  4684k |  17 | 125 |  35 | 132 |3916 |  2 |   0 |   0 | 3.376001e+01 | 5.495773e+01 |  62.79%| unknown
  1.1s|   300 |   301 |  9879 |  32.1 |  5100k |  17 | 125 |  35 | 166 |6304 |  4 |   0 |   0 | 3.376001e+01 | 5.495773e+01 |  62.79%| unknown
  1.5s|   400 |   401 | 14642 |  36.0 |  7347k |  17 | 125 |  35 | 175 |9448 | 10 |   0 |   0 | 3.509854e+01 | 5.495773e+01 |  56.58%| unknown
  1.9s|   500 |   499 | 20963 |  41.5 |  7788k |  17 | 125 |  36 | 206 |  13k|  9 |   1 |   0 | 3.599491e+01 | 5.495773e+01 |  52.68%| unknown
  2.2s|   600 |   599 | 26752 |  44.2 |  8662k |  18 | 125 |  36 | 157 |  16k|  1 |   1 |   0 | 3.670383e+01 | 5.495773e+01 |  49.73%| unknown
  2.6s|   700 |   699 | 32134 |  45.6 |    11M |  18 | 125 |  36 | 205 |  20k| 11 |   1 |   0 | 3.670383e+01 | 5.495773e+01 |  49.73%| unknown
