2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance transportation 5 2 cubic
presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 25 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, exhaustive) 0 del vars, 0 del conss, 0 add conss, 25 chg bounds, 0 chg sides, 0 chg coeffs, 25 upgd conss, 0 impls, 0 clqs
   (0.0s) probing cycle finished: starting next cycle
(round 3, exhaustive) 0 del vars, 0 del conss, 0 add conss, 50 chg bounds, 0 chg sides, 0 chg coeffs, 25 upgd conss, 65 impls, 2 clqs
   (0.0s) probing cycle finished: starting next cycle
   (0.0s) symmetry computation started: requiring (bin +, int -, cont -), (fixed: bin -, int +, cont +)
   (0.0s) no symmetry present
presolving (4 rounds: 4 fast, 3 medium, 3 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 50 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 65 implications, 2 cliques
presolved problem has 75 variables (25 bin, 0 int, 0 impl, 50 cont) and 60 constraints
     25 constraints of type <varbound>
     10 constraints of type <linear>
     25 constraints of type <nonlinear>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
t 0.0s|     1 |     0 |   215 |     - |  trysol|   0 | 150 |  61 | 160 |   0 |  0 |   1 |   0 |-2.044219e+03 | 5.062204e+02 |    Inf | unknown
  0.0s|     1 |     0 |   444 |     - |  2898k |   0 | 150 |  61 | 160 |   0 |  0 |   1 |   0 |-6.323743e+02 | 5.062204e+02 |    Inf | unknown
L 0.0s|     1 |     0 |   444 |     - |undercov|   0 | 150 |  61 | 160 |   0 |  0 |   1 |   0 |-6.323743e+02 | 4.756103e+02 |    Inf | unknown
L 0.1s|     1 |     0 |   444 |     - |undercov|   0 | 150 |  61 | 160 |   0 |  0 |   1 |   0 |-6.323743e+02 | 4.330120e+02 |    Inf | unknown
  0.1s|     1 |     0 |   480 |     - |  3106k |   0 | 150 |  61 | 181 |  21 |  1 |   1 |   0 |-5.688709e+02 | 4.330120e+02 |    Inf | unknown
  0.1s|     1 |     0 |   538 |     - |  3140k |   0 | 150 |  61 | 203 |  43 |  2 |   1 |   0 |-4.742167e+02 | 4.330120e+02 |    Inf | unknown
  0.1s|     1 |     0 |   565 |     - |  3288k |   0 | 150 |  61 | 222 |  62 |  3 |   1 |   0 |-4.084635e+02 | 4.330120e+02 |    Inf | unknown
  0.1s|     1 |     0 |   602 |     - |  3359k |   0 | 150 |  61 | 243 |  83 |  4 |   1 |   0 |-3.659004e+02 | 4.330120e+02 |    Inf | unknown
r 0.1s|     1 |     0 |   602 |     - |shifting|   0 | 150 |  61 | 243 |  83 |  4 |   1 |   0 |-3.659004e+02 | 3.606063e+02 |    Inf | unknown
  0.1s|     1 |     0 |   625 |     - |  3387k |   0 | 150 |  61 | 260 | 100 |  5 |   1 |   0 |-3.564665e+02 | 3.606063e+02 |    Inf | unknown
  0.1s|     1 |     0 |   625 |     - |  3391k |   0 | 150 |  61 | 260 | 100 |  5 |   1 |   0 |-3.564665e+02 | 3.606063e+02 |    Inf | unknown
  0.1s|     1 |     0 |   662 |     - |  3422k |   0 | 150 |  61 | 275 | 115 |  6 |   1 |   0 |-3.522074e+02 | 3.606063e+02 |    Inf | unknown
  0.1s|     1 |     0 |   687 |     - |  3452k |   0 | 150 |  61 | 290 | 130 |  7 |   1 |   0 |-3.508000e+02 | 3.606063e+02 |    Inf | unknown
  0.1s|     1 |     0 |   703 |     - |  3486k |   0 | 150 |  61 | 304 | 144 |  8 |   1 |   0 |-3.492854e+02 | 3.606063e+02 |    Inf | unknown
  0.1s|     1 |     0 |   723 |     - |  3521k |   0 | 150 |  61 | 318 | 158 |  9 |   1 |   0 |-3.491414e+02 | 3.606063e+02 |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
