2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance transportation 10 9 log
presolving:
(round 1, fast)       100 del vars, 100 del conss, 0 add conss, 100 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 100 deleted vars, 100 deleted constraints, 0 added constraints, 100 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 200 variables (0 bin, 0 int, 0 impl, 200 cont) and 120 constraints
     20 constraints of type <linear>
    100 constraints of type <nonlinear>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |   492 |     - |  5823k |   0 | 400 | 120 | 220 |   0 |  0 |   0 |   0 | 4.359215e+02 |      --      |    Inf | unknown
L 0.1s|     1 |     0 |   492 |     - |  subnlp|   0 | 400 | 120 | 220 |   0 |  0 |   0 |   0 | 4.359215e+02 | 5.555898e+02 |  27.45%| unknown
  0.1s|     1 |     0 |   492 |     - |  6049k |   0 | 400 | 120 | 220 |   0 |  2 |   0 |   0 | 4.359215e+02 | 5.555898e+02 |  27.45%| unknown
  0.2s|     1 |     0 |   492 |     - |  6049k |   0 | 400 | 120 | 220 |   0 |  4 |   0 |   0 | 4.359215e+02 | 5.555898e+02 |  27.45%| unknown
  0.2s|     1 |     0 |  1103 |     - |  6064k |   0 | 400 | 120 | 220 |   0 |  6 |   0 |   0 | 4.359215e+02 | 5.555898e+02 |  27.45%| unknown
  0.2s|     1 |     0 |  1103 |     - |  6064k |   0 | 400 | 120 | 220 |   0 |  8 |   0 |   0 | 4.359215e+02 | 5.555898e+02 |  27.45%| unknown
  0.2s|     1 |     2 |  1103 |     - |  6064k |   0 | 400 | 120 | 220 |   0 | 10 |   0 |   0 | 4.359215e+02 | 5.555898e+02 |  27.45%| unknown
t 0.4s|    74 |    41 |  1338 |  11.6 |  trysol|  25 | 400 | 120 |   0 |  63 |  0 |   0 |   0 | 4.385990e+02 | 5.277911e+02 |  20.34%|  69.04%
  0.5s|   100 |    69 |  1516 |  10.3 |  6556k |  25 | 400 | 120 | 229 | 105 |  2 |   0 |   0 | 4.385990e+02 | 5.277911e+02 |  20.34%|  69.26%
  0.7s|   200 |   167 |  2105 |   8.1 |  6786k |  30 | 400 | 120 | 231 | 240 |  2 |   0 |   0 | 4.436360e+02 | 5.277911e+02 |  18.97%|  69.58%
t 0.7s|   202 |   167 |  2112 |   8.1 |  trysol|  30 | 400 | 120 |   0 | 244 |  0 |   0 |   0 | 4.436360e+02 | 5.203296e+02 |  17.29%|  69.58%
  0.8s|   300 |   267 |  2775 |   7.6 |  6936k |  30 | 400 | 120 | 242 | 413 |  2 |   0 |   0 | 4.465230e+02 | 5.203296e+02 |  16.53%|  69.65%
  0.9s|   400 |   365 |  3479 |   7.5 |  7307k |  30 | 400 | 120 | 237 | 582 |  3 |   0 |   0 | 4.477816e+02 | 5.203296e+02 |  16.20%|  69.87%
  1.1s|   500 |   465 |  4311 |   7.7 |  7645k |  36 | 400 | 120 | 231 | 760 |  6 |   0 |   0 | 4.497426e+02 | 5.203296e+02 |  15.69%|  69.98%
  1.2s|   600 |   563 |  4953 |   7.4 |  7686k |  36 | 400 | 120 | 237 | 914 |  2 |   0 |   0 | 4.497712e+02 | 5.203296e+02 |  15.69%|  70.01%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.4s|   700 |   663 |  5799 |   7.6 |  8194k |  36 | 400 | 120 | 230 |1095 |  5 |   0 |   0 | 4.497712e+02 | 5.203296e+02 |  15.69%|  70.19%
  1.5s|   800 |   755 |  6581 |   7.6 |  8411k |  36 | 400 | 121 | 232 |1270 |  2 |   1 |   0 | 4.525475e+02 | 5.203296e+02 |  14.98%|  70.43%
  1.6s|   900 |   851 |  7413 |   7.7 |  9104k |  37 | 400 | 121 | 244 |1462 |  4 |   1 |   0 | 4.534839e+02 | 5.203296e+02 |  14.74%|  70.55%
  1.8s|  1000 |   951 |  8239 |   7.8 |  9258k |  37 | 400 | 121 | 235 |1679 |  2 |   1 |   0 | 4.545104e+02 | 5.203296e+02 |  14.48%|  70.62%
  1.9s|  1100 |  1043 |  9041 |   7.8 |  9355k |  37 | 400 | 121 | 236 |1863 |  2 |   1 |   0 | 4.550231e+02 | 5.203296e+02 |  14.35%|  70.65%
  2.0s|  1200 |  1139 |  9796 |   7.8 |  9743k |  37 | 400 | 121 | 237 |2041 |  6 |   1 |   0 | 4.557521e+02 | 5.203296e+02 |  14.17%|  70.71%
  2.1s|  1300 |  1235 | 10496 |   7.7 |  9839k |  37 | 400 | 121 | 240 |2210 |  5 |   1 |   0 | 4.558542e+02 | 5.203296e+02 |  14.14%|  70.74%
  2.2s|  1400 |  1329 | 11359 |   7.8 |    10M |  37 | 400 | 121 | 235 |2419 |  2 |   1 |   0 | 4.563957e+02 | 5.203296e+02 |  14.01%|  70.79%
  2.4s|  1500 |  1421 | 12131 |   7.8 |    10M |  37 | 400 | 121 | 233 |2593 |  5 |   1 |   0 | 4.570835e+02 | 5.203296e+02 |  13.84%|  70.90%
  2.5s|  1600 |  1517 | 12960 |   7.8 |    10M |  37 | 400 | 122 | 239 |2785 |  6 |   2 |   0 | 4.574097e+02 | 5.203296e+02 |  13.76%|  71.00%
  2.7s|  1700 |  1611 | 13842 |   7.9 |    10M |  37 | 400 | 122 | 237 |2976 |  2 |   2 |   0 | 4.581140e+02 | 5.203296e+02 |  13.58%|  71.13%
  2.8s|  1800 |  1711 | 14510 |   7.8 |    11M |  38 | 400 | 122 | 238 |3152 |  2 |   2 |   0 | 4.582105e+02 | 5.203296e+02 |  13.56%|  71.17%
  2.9s|  1900 |  1805 | 15329 |   7.8 |    12M |  38 | 400 | 122 | 231 |3343 |  5 |   2 |   0 | 4.584128e+02 | 5.203296e+02 |  13.51%|  71.21%
  3.0s|  2000 |  1893 | 16276 |   7.9 |    12M |  38 | 400 | 122 | 230 |3564 |  4 |   2 |   0 | 4.588455e+02 | 5.203296e+02 |  13.40%|  71.24%
  3.1s|  2100 |  1983 | 17162 |   7.9 |    12M |  38 | 400 | 122 | 236 |3767 |  3 |   2 |   0 | 4.589570e+02 | 5.203296e+02 |  13.37%|  71.28%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  3.2s|  2200 |  2081 | 17999 |   8.0 |    12M |  38 | 400 | 122 | 237 |3933 |  3 |   2 |   0 | 4.591448e+02 | 5.203296e+02 |  13.33%|  71.33%
  3.3s|  2300 |  2173 | 18920 |   8.0 |    12M |  38 | 400 | 122 | 239 |4145 |  6 |   2 |   0 | 4.594011e+02 | 5.203296e+02 |  13.26%|  71.47%
  3.5s|  2400 |  2263 | 19834 |   8.1 |    13M |  38 | 400 | 122 | 233 |4318 |  2 |   2 |   0 | 4.603105e+02 | 5.203296e+02 |  13.04%|  71.50%
  3.6s|  2500 |  2359 | 20727 |   8.1 |    13M |  38 | 400 | 122 | 239 |4524 |  2 |   2 |   0 | 4.606361e+02 | 5.203296e+02 |  12.96%|  71.54%
  3.7s|  2600 |  2453 | 21642 |   8.1 |    13M |  38 | 400 | 122 | 250 |4725 |  2 |   2 |   0 | 4.609897e+02 | 5.203296e+02 |  12.87%|  71.60%
  3.8s|  2700 |  2543 | 22469 |   8.1 |    13M |  38 | 400 | 122 | 232 |4915 |  5 |   2 |   0 | 4.611228e+02 | 5.203296e+02 |  12.84%|  71.64%
  3.9s|  2800 |  2637 | 23290 |   8.1 |    13M |  38 | 400 | 122 | 233 |5111 |  2 |   2 |   0 | 4.616812e+02 | 5.203296e+02 |  12.70%|  71.74%
  4.1s|  2900 |  2727 | 24168 |   8.2 |    13M |  38 | 400 | 122 | 245 |5313 |  2 |   2 |   0 | 4.622541e+02 | 5.203296e+02 |  12.56%|  71.84%
  4.2s|  3000 |  2817 | 24969 |   8.2 |    13M |  38 | 400 | 122 | 241 |5490 |  2 |   2 |   0 | 4.624238e+02 | 5.203296e+02 |  12.52%|  71.87%
  4.4s|  3100 |  2913 | 25862 |   8.2 |    14M |  38 | 400 | 122 | 250 |5681 |  8 |   2 |   0 | 4.626350e+02 | 5.203296e+02 |  12.47%|  71.98%
