2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance transportation 15 1 sinabc3
presolving:
(round 1, fast)       225 del vars, 225 del conss, 0 add conss, 225 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 225 deleted vars, 225 deleted constraints, 0 added constraints, 225 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 450 variables (0 bin, 0 int, 0 impl, 450 cont) and 255 constraints
     30 constraints of type <linear>
    225 constraints of type <nonlinear>
Presolving Time: 0.03

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |  2243 |     - |    15M |   0 |1125 | 255 |2055 |   0 |  0 |   0 |   0 |-6.343783e+00 |      --      |    Inf | unknown
L 0.2s|     1 |     0 |  2243 |     - |undercov|   0 |1125 | 255 |2055 |   0 |  0 |   0 |   0 |-6.343783e+00 | 2.938148e+02 |    Inf | unknown
L 0.8s|     1 |     0 |  2243 |     - |undercov|   0 |1125 | 255 |2055 |   0 |  0 |   0 |   0 |-6.343783e+00 | 1.134932e+02 |    Inf | unknown
L 1.5s|     1 |     0 |  2243 |     - |  subnlp|   0 |1125 | 255 |2055 |   0 |  0 |   0 |   0 |-6.343783e+00 | 9.911738e+01 |    Inf | unknown
  1.6s|     1 |     0 |  2564 |     - |    17M |   0 |1125 | 255 |2270 | 215 |  1 |   0 |   0 | 2.350584e+01 | 9.911738e+01 | 321.67%| unknown
  1.6s|     1 |     0 |  2564 |     - |    17M |   0 |1125 | 255 |2270 | 215 |  1 |   0 |   0 | 2.350584e+01 | 9.911738e+01 | 321.67%| unknown
  1.6s|     1 |     0 |  2809 |     - |    17M |   0 |1125 | 255 |2463 | 408 |  2 |   0 |   0 | 2.951118e+01 | 9.911738e+01 | 235.86%| unknown
  1.6s|     1 |     0 |  3007 |     - |    17M |   0 |1125 | 255 |2618 | 563 |  3 |   0 |   0 | 3.124391e+01 | 9.911738e+01 | 217.24%| unknown
  1.6s|     1 |     0 |  3036 |     - |    17M |   0 |1125 | 255 |2638 | 583 |  4 |   0 |   0 | 3.130187e+01 | 9.911738e+01 | 216.65%| unknown
  1.6s|     1 |     0 |  3038 |     - |    17M |   0 |1125 | 255 |2640 | 585 |  5 |   0 |   0 | 3.130312e+01 | 9.911738e+01 | 216.64%| unknown
