2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance uflp nlass holmberg 63 sinabc3
presolving:
(round 1, fast)       6000 del vars, 6000 del conss, 0 add conss, 6000 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, exhaustive) 6000 del vars, 6000 del conss, 0 add conss, 6000 chg bounds, 0 chg sides, 0 chg coeffs, 6000 upgd conss, 0 impls, 0 clqs
   (20.3s) probing cycle finished: starting next cycle
   (20.3s) symmetry computation started: requiring (bin +, int -, cont -), (fixed: bin -, int +, cont +)
   (20.3s) no symmetry present
presolving (3 rounds: 3 fast, 2 medium, 2 exhaustive):
 6000 deleted vars, 6000 deleted constraints, 0 added constraints, 6000 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 6000 implications, 0 cliques
presolved problem has 12030 variables (30 bin, 0 int, 0 impl, 12000 cont) and 12200 constraints
   6000 constraints of type <varbound>
    200 constraints of type <linear>
   6000 constraints of type <nonlinear>
Presolving Time: 20.25

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
t48.4s|     1 |     0 |104136 |     - |  trysol|   0 |  30k|  12k|  60k|   0 |  0 |   0 |   0 |-8.678100e+04 | 3.892894e+04 |    Inf | unknown
 89.4s|     1 |     0 |161267 |     - |   365M |   0 |  30k|  12k|  60k|   0 |  0 |   0 |   0 |-7.578946e+03 | 3.892894e+04 |    Inf | unknown
  186s|     1 |     0 |174921 |     - |   407M |   0 |  30k|  12k|  62k|2000 |  1 |   0 |   0 |-3.954135e+03 | 3.892894e+04 |    Inf | unknown
  211s|     1 |     0 |185208 |     - |   410M |   0 |  30k|  12k|  64k|4000 |  2 |   0 |   0 |-7.446241e+02 | 3.892894e+04 |    Inf | unknown
  253s|     1 |     0 |198245 |     - |   424M |   0 |  30k|  12k|  66k|6000 |  3 |   0 |   0 | 1.514059e+03 | 3.892894e+04 |2471.16%| unknown
  298s|     1 |     0 |211416 |     - |   433M |   0 |  30k|  12k|  68k|8000 |  4 |   0 |   0 | 3.394391e+03 | 3.892894e+04 |1046.86%| unknown
  340s|     1 |     0 |222947 |     - |   440M |   0 |  30k|  12k|  70k|9854 |  5 |   0 |   0 | 4.180229e+03 | 3.892894e+04 | 831.26%| unknown
  358s|     1 |     0 |229578 |     - |   447M |   0 |  30k|  12k|  70k|  10k|  6 |   0 |   0 | 4.366272e+03 | 3.892894e+04 | 791.58%| unknown
  374s|     1 |     0 |234813 |     - |   456M |   0 |  30k|  12k|  71k|  11k|  7 |   0 |   0 | 4.562571e+03 | 3.892894e+04 | 753.22%| unknown
  391s|     1 |     0 |239777 |     - |   464M |   0 |  30k|  12k|  71k|  11k|  8 |   0 |   0 | 4.716841e+03 | 3.892894e+04 | 725.32%| unknown
  404s|     1 |     0 |243881 |     - |   471M |   0 |  30k|  12k|  72k|  11k|  9 |   0 |   0 | 4.754838e+03 | 3.892894e+04 | 718.72%| unknown
  410s|     1 |     0 |245818 |     - |   479M |   0 |  30k|  12k|  72k|  12k| 10 |   0 |   0 | 4.776409e+03 | 3.892894e+04 | 715.03%| unknown
  416s|     1 |     0 |247550 |     - |   487M |   0 |  30k|  12k|  72k|  12k| 11 |   0 |   0 | 4.799041e+03 | 3.892894e+04 | 711.18%| unknown
  419s|     1 |     0 |248238 |     - |   494M |   0 |  30k|  12k|  72k|  12k| 12 |   0 |   0 | 4.810327e+03 | 3.892894e+04 | 709.28%| unknown
  425s|     1 |     0 |250093 |     - |   501M |   0 |  30k|  12k|  72k|  12k| 13 |   0 |   0 | 4.842574e+03 | 3.892894e+04 | 703.89%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  433s|     1 |     0 |252385 |     - |   509M |   0 |  30k|  12k|  72k|  12k| 14 |   0 |   0 | 4.892810e+03 | 3.892894e+04 | 695.64%| unknown
  438s|     1 |     0 |253449 |     - |   517M |   0 |  30k|  12k|  32k|  12k| 15 |   0 |   0 | 4.911990e+03 | 3.892894e+04 | 692.53%| unknown
  439s|     1 |     0 |253737 |     - |   520M |   0 |  30k|  12k|  32k|  12k| 16 |   0 |   0 | 4.918200e+03 | 3.892894e+04 | 691.53%| unknown
  441s|     1 |     0 |254134 |     - |   523M |   0 |  30k|  12k|  32k|  12k| 17 |   0 |   0 | 4.925309e+03 | 3.892894e+04 | 690.39%| unknown
  443s|     1 |     0 |254521 |     - |   527M |   0 |  30k|  12k|  32k|  12k| 18 |   0 |   0 | 4.930805e+03 | 3.892894e+04 | 689.50%| unknown
  444s|     1 |     0 |254757 |     - |   530M |   0 |  30k|  12k|  32k|  13k| 19 |   0 |   0 | 4.933337e+03 | 3.892894e+04 | 689.10%| unknown
  445s|     1 |     0 |255106 |     - |   534M |   0 |  30k|  12k|  32k|  13k| 20 |   0 |   0 | 4.938029e+03 | 3.892894e+04 | 688.35%| unknown
  447s|     1 |     0 |255404 |     - |   537M |   0 |  30k|  12k|  29k|  13k| 21 |   0 |   0 | 4.940104e+03 | 3.892894e+04 | 688.02%| unknown
  448s|     1 |     0 |255443 |     - |   540M |   0 |  30k|  12k|  29k|  13k| 22 |   0 |   0 | 4.940364e+03 | 3.892894e+04 | 687.98%| unknown
  449s|     1 |     0 |255779 |     - |   540M |   0 |  30k|  12k|  29k|  13k| 23 |   0 |   0 | 4.943360e+03 | 3.892894e+04 | 687.50%| unknown
  453s|     1 |     0 |257321 |     - |   540M |   0 |  30k|  12k|  30k|  14k| 24 |   0 |   0 | 4.987679e+03 | 3.892894e+04 | 680.50%| unknown
  455s|     1 |     0 |257827 |     - |   540M |   0 |  30k|  12k|  30k|  14k| 25 |   0 |   0 | 4.996492e+03 | 3.892894e+04 | 679.13%| unknown
  457s|     1 |     0 |258318 |     - |   541M |   0 |  30k|  12k|  30k|  14k| 26 |   0 |   0 | 5.001714e+03 | 3.892894e+04 | 678.31%| unknown
  459s|     1 |     0 |258760 |     - |   541M |   0 |  30k|  12k|  30k|  14k| 27 |   0 |   0 | 5.017173e+03 | 3.892894e+04 | 675.91%| unknown
  460s|     1 |     0 |259011 |     - |   541M |   0 |  30k|  12k|  30k|  14k| 28 |   0 |   0 | 5.019595e+03 | 3.892894e+04 | 675.54%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  461s|     1 |     0 |259136 |     - |   541M |   0 |  30k|  12k|  30k|  14k| 29 |   0 |   0 | 5.020681e+03 | 3.892894e+04 | 675.37%| unknown
  462s|     1 |     0 |259222 |     - |   541M |   0 |  30k|  12k|  30k|  14k| 30 |   0 |   0 | 5.021986e+03 | 3.892894e+04 | 675.17%| unknown
  463s|     1 |     0 |259265 |     - |   542M |   0 |  30k|  12k|  30k|  14k| 31 |   0 |   0 | 5.023351e+03 | 3.892894e+04 | 674.96%| unknown
  464s|     1 |     0 |259414 |     - |   542M |   0 |  30k|  12k|  30k|  14k| 32 |   0 |   0 | 5.025512e+03 | 3.892894e+04 | 674.63%| unknown
  465s|     1 |     0 |259520 |     - |   542M |   0 |  30k|  12k|  29k|  14k| 33 |   0 |   0 | 5.026906e+03 | 3.892894e+04 | 674.41%| unknown
  465s|     1 |     0 |259570 |     - |   542M |   0 |  30k|  12k|  29k|  14k| 34 |   0 |   0 | 5.027168e+03 | 3.892894e+04 | 674.37%| unknown
  466s|     1 |     0 |259636 |     - |   542M |   0 |  30k|  12k|  29k|  14k| 35 |   0 |   0 | 5.027313e+03 | 3.892894e+04 | 674.35%| unknown
  467s|     1 |     0 |259651 |     - |   543M |   0 |  30k|  12k|  29k|  14k| 36 |   0 |   0 | 5.027324e+03 | 3.892894e+04 | 674.35%| unknown
  467s|     1 |     0 |259694 |     - |   543M |   0 |  30k|  12k|  29k|  14k| 37 |   0 |   0 | 5.027554e+03 | 3.892894e+04 | 674.31%| unknown
  468s|     1 |     0 |259703 |     - |   543M |   0 |  30k|  12k|  29k|  14k| 38 |   0 |   0 | 5.027592e+03 | 3.892894e+04 | 674.31%| unknown
  468s|     1 |     0 |259711 |     - |   543M |   0 |  30k|  12k|  28k|  14k| 39 |   0 |   0 | 5.027687e+03 | 3.892894e+04 | 674.29%| unknown
  469s|     1 |     0 |259752 |     - |   543M |   0 |  30k|  12k|  28k|  14k| 40 |   0 |   0 | 5.028366e+03 | 3.892894e+04 | 674.19%| unknown
L1165s|     1 |     0 |387527 |     - |    rens|   0 |  30k|  12k|  28k|  14k| 42 |   0 |   0 | 5.028366e+03 | 1.414382e+04 | 181.28%| unknown
L1166s|     1 |     0 |387527 |     - |    alns|   0 |  30k|  12k|  28k|  14k| 42 |   0 |   0 | 5.028366e+03 | 1.341570e+04 | 166.80%| unknown
