2023/05/23
Julia is now 1.9.0
previous version was 1.7.2
2023/11/29
gurobi is now 11.0.0
previous version was 10.0.2
solving instance uflp nlass orlib 74 sinabc3
presolving:
(round 1, fast)       751 del vars, 801 del conss, 0 add conss, 800 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       802 del vars, 851 del conss, 0 add conss, 800 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 3, exhaustive) 803 del vars, 851 del conss, 0 add conss, 800 chg bounds, 1 chg sides, 0 chg coeffs, 750 upgd conss, 0 impls, 0 clqs
   (9.5s) probing cycle finished: starting next cycle
   (9.5s) symmetry computation started: requiring (bin +, int -, cont -), (fixed: bin -, int +, cont +)
   (9.5s) no symmetry present
presolving (4 rounds: 4 fast, 2 medium, 2 exhaustive):
 803 deleted vars, 851 deleted constraints, 0 added constraints, 800 tightened bounds, 0 added holes, 1 changed sides, 0 changed coefficients
 750 implications, 0 cliques
presolved problem has 1613 variables (15 bin, 0 int, 0 impl, 1598 cont) and 1599 constraints
    750 constraints of type <varbound>
     50 constraints of type <linear>
    799 constraints of type <nonlinear>
Presolving Time: 9.51

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
t10.0s|     1 |     0 | 15986 |     - |  trysol|   0 |4010 |1599 |7991 |   0 |  0 |   0 |   0 |-1.398399e+06 | 8.613555e+05 |    Inf | unknown
 10.6s|     1 |     0 | 26560 |     - |    53M |   0 |4010 |1599 |7991 |   0 |  0 |   0 |   0 |-6.548982e+04 | 8.613555e+05 |    Inf | unknown
 16.0s|     1 |     0 | 30431 |     - |    61M |   0 |4010 |1599 |8790 | 799 |  1 |   0 |   0 | 9.572595e+04 | 8.613555e+05 | 799.81%| unknown
t16.0s|     1 |     0 | 30431 |     - |  trysol|   0 |4010 |1599 |8790 | 799 |  1 |   0 |   0 | 9.572595e+04 | 7.861223e+05 | 721.22%| unknown
 16.4s|     1 |     0 | 32377 |     - |    63M |   0 |4010 |1599 |9348 |1357 |  2 |   0 |   0 | 1.420390e+05 | 7.861223e+05 | 453.46%| unknown
 16.6s|     1 |     0 | 33261 |     - |    64M |   0 |4010 |1599 |9599 |1608 |  3 |   0 |   0 | 1.478242e+05 | 7.861223e+05 | 431.80%| unknown
t16.6s|     1 |     0 | 33261 |     - |  trysol|   0 |4010 |1599 |9599 |1608 |  3 |   0 |   0 | 1.478242e+05 | 7.503674e+05 | 407.61%| unknown
 16.8s|     1 |     0 | 33777 |     - |    65M |   0 |4010 |1599 |9753 |1762 |  4 |   0 |   0 | 1.497293e+05 | 7.503674e+05 | 401.15%| unknown
 16.8s|     1 |     0 | 33777 |     - |    65M |   0 |4010 |1599 |9753 |1762 |  4 |   0 |   0 | 1.497293e+05 | 7.503674e+05 | 401.15%| unknown
 16.9s|     1 |     0 | 34235 |     - |    67M |   0 |4010 |1599 |9822 |1831 |  5 |   0 |   0 | 1.524763e+05 | 7.503674e+05 | 392.12%| unknown
 17.1s|     1 |     0 | 34523 |     - |    68M |   0 |4010 |1599 |9865 |1874 |  6 |   0 |   0 | 1.531548e+05 | 7.503674e+05 | 389.94%| unknown
 17.2s|     1 |     0 | 34723 |     - |    70M |   0 |4010 |1599 |9894 |1903 |  7 |   0 |   0 | 1.537808e+05 | 7.503674e+05 | 387.95%| unknown
 17.3s|     1 |     0 | 34875 |     - |    71M |   0 |4010 |1599 |9972 |1981 |  8 |   0 |   0 | 1.540182e+05 | 7.503674e+05 | 387.19%| unknown
 17.4s|     1 |     0 | 34926 |     - |    72M |   0 |4010 |1599 |9984 |1993 |  9 |   0 |   0 | 1.541704e+05 | 7.503674e+05 | 386.71%| unknown
 17.6s|     1 |     0 | 35197 |     - |    73M |   0 |4010 |1599 |  10k|2012 | 10 |   0 |   0 | 1.548908e+05 | 7.503674e+05 | 384.45%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 17.8s|     1 |     0 | 35663 |     - |    74M |   0 |4010 |1599 |  10k|2076 | 11 |   0 |   0 | 1.556150e+05 | 7.503674e+05 | 382.19%| unknown
 17.9s|     1 |     0 | 35939 |     - |    75M |   0 |4010 |1599 |  10k|2105 | 12 |   0 |   0 | 1.563324e+05 | 7.503674e+05 | 379.98%| unknown
 18.1s|     1 |     0 | 36316 |     - |    77M |   0 |4010 |1599 |  10k|2128 | 13 |   0 |   0 | 1.571603e+05 | 7.503674e+05 | 377.45%| unknown
 18.3s|     1 |     0 | 36530 |     - |    78M |   0 |4010 |1599 |  10k|2149 | 14 |   0 |   0 | 1.576976e+05 | 7.503674e+05 | 375.83%| unknown
 18.5s|     1 |     0 | 36711 |     - |    79M |   0 |4010 |1599 |4375 |2185 | 15 |   0 |   0 | 1.583185e+05 | 7.503674e+05 | 373.96%| unknown
 18.6s|     1 |     0 | 37061 |     - |    79M |   0 |4010 |1599 |4430 |2240 | 16 |   0 |   0 | 1.591158e+05 | 7.503674e+05 | 371.59%| unknown
 18.7s|     1 |     0 | 37175 |     - |    80M |   0 |4010 |1599 |4450 |2260 | 17 |   0 |   0 | 1.603869e+05 | 7.503674e+05 | 367.85%| unknown
 18.8s|     1 |     0 | 37466 |     - |    80M |   0 |4010 |1599 |4476 |2286 | 18 |   0 |   0 | 1.609553e+05 | 7.503674e+05 | 366.20%| unknown
 18.9s|     1 |     0 | 37703 |     - |    81M |   0 |4010 |1599 |4516 |2326 | 19 |   0 |   0 | 1.615482e+05 | 7.503674e+05 | 364.49%| unknown
 19.0s|     1 |     0 | 37936 |     - |    81M |   0 |4010 |1599 |4574 |2384 | 20 |   0 |   0 | 1.628782e+05 | 7.503674e+05 | 360.69%| unknown
 19.1s|     1 |     0 | 37970 |     - |    81M |   0 |4010 |1599 |4305 |2395 | 21 |   0 |   0 | 1.629315e+05 | 7.503674e+05 | 360.54%| unknown
 19.2s|     1 |     0 | 38168 |     - |    81M |   0 |4010 |1599 |4357 |2447 | 22 |   0 |   0 | 1.635183e+05 | 7.503674e+05 | 358.89%| unknown
 19.2s|     1 |     0 | 38470 |     - |    81M |   0 |4010 |1599 |4442 |2532 | 23 |   0 |   0 | 1.657639e+05 | 7.503674e+05 | 352.67%| unknown
 19.4s|     1 |     0 | 38689 |     - |    81M |   0 |4010 |1599 |4468 |2558 | 24 |   0 |   0 | 1.664583e+05 | 7.503674e+05 | 350.78%| unknown
 19.5s|     1 |     0 | 39114 |     - |    81M |   0 |4010 |1599 |4546 |2636 | 25 |   0 |   0 | 1.673049e+05 | 7.503674e+05 | 348.50%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 19.6s|     1 |     0 | 39253 |     - |    81M |   0 |4010 |1599 |4565 |2655 | 26 |   0 |   0 | 1.674273e+05 | 7.503674e+05 | 348.18%| unknown
 19.6s|     1 |     0 | 39441 |     - |    81M |   0 |4010 |1599 |4431 |2669 | 27 |   0 |   0 | 1.677312e+05 | 7.503674e+05 | 347.36%| unknown
 19.7s|     1 |     0 | 39708 |     - |    81M |   0 |4010 |1599 |4459 |2697 | 28 |   0 |   0 | 1.678876e+05 | 7.503674e+05 | 346.95%| unknown
 19.8s|     1 |     0 | 39799 |     - |    81M |   0 |4010 |1599 |4485 |2723 | 29 |   0 |   0 | 1.679823e+05 | 7.503674e+05 | 346.69%| unknown
 19.8s|     1 |     0 | 39921 |     - |    81M |   0 |4010 |1599 |4539 |2777 | 30 |   0 |   0 | 1.683824e+05 | 7.503674e+05 | 345.63%| unknown
 19.9s|     1 |     0 | 40188 |     - |    81M |   0 |4010 |1599 |4592 |2830 | 31 |   0 |   0 | 1.688166e+05 | 7.503674e+05 | 344.49%| unknown
 20.0s|     1 |     0 | 40423 |     - |    81M |   0 |4010 |1599 |4642 |2880 | 32 |   0 |   0 | 1.698149e+05 | 7.503674e+05 | 341.87%| unknown
 20.1s|     1 |     0 | 40601 |     - |    82M |   0 |4010 |1599 |4467 |2935 | 33 |   0 |   0 | 1.706812e+05 | 7.503674e+05 | 339.63%| unknown
 20.1s|     1 |     0 | 40686 |     - |    82M |   0 |4010 |1599 |4500 |2968 | 34 |   0 |   0 | 1.709741e+05 | 7.503674e+05 | 338.88%| unknown
 20.2s|     1 |     0 | 40832 |     - |    82M |   0 |4010 |1599 |4515 |2983 | 35 |   0 |   0 | 1.716331e+05 | 7.503674e+05 | 337.19%| unknown
 20.3s|     1 |     0 | 41100 |     - |    82M |   0 |4010 |1599 |4543 |3011 | 36 |   0 |   0 | 1.723305e+05 | 7.503674e+05 | 335.42%| unknown
 20.3s|     1 |     0 | 41262 |     - |    82M |   0 |4010 |1599 |4565 |3033 | 37 |   0 |   0 | 1.728953e+05 | 7.503674e+05 | 334.00%| unknown
 20.4s|     1 |     0 | 41356 |     - |    82M |   0 |4010 |1599 |4578 |3046 | 38 |   0 |   0 | 1.731558e+05 | 7.503674e+05 | 333.35%| unknown
 20.4s|     1 |     0 | 41471 |     - |    82M |   0 |4010 |1599 |4409 |3075 | 39 |   0 |   0 | 1.733186e+05 | 7.503674e+05 | 332.94%| unknown
 20.5s|     1 |     0 | 41478 |     - |    82M |   0 |4010 |1599 |4415 |3081 | 40 |   0 |   0 | 1.733202e+05 | 7.503674e+05 | 332.94%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 20.5s|     1 |     0 | 41481 |     - |    82M |   0 |4010 |1599 |4417 |3083 | 41 |   0 |   0 | 1.733202e+05 | 7.503674e+05 | 332.94%| unknown
 20.5s|     1 |     0 | 41490 |     - |    82M |   0 |4010 |1599 |4421 |3087 | 42 |   0 |   0 | 1.733241e+05 | 7.503674e+05 | 332.93%| unknown
 20.6s|     1 |     0 | 41510 |     - |    82M |   0 |4010 |1599 |4423 |3089 | 43 |   0 |   0 | 1.733408e+05 | 7.503674e+05 | 332.89%| unknown
 20.6s|     1 |     0 | 41554 |     - |    82M |   0 |4010 |1599 |4429 |3095 | 44 |   0 |   0 | 1.733580e+05 | 7.503674e+05 | 332.84%| unknown
 20.7s|     1 |     0 | 41583 |     - |    82M |   0 |4010 |1599 |4126 |3104 | 45 |   0 |   0 | 1.733697e+05 | 7.503674e+05 | 332.81%| unknown
 20.7s|     1 |     0 | 41591 |     - |    82M |   0 |4010 |1599 |4130 |3108 | 46 |   0 |   0 | 1.733725e+05 | 7.503674e+05 | 332.81%| unknown
 20.7s|     1 |     0 | 41614 |     - |    82M |   0 |4010 |1599 |4142 |3120 | 47 |   0 |   0 | 1.733848e+05 | 7.503674e+05 | 332.78%| unknown
 20.7s|     1 |     0 | 41622 |     - |    82M |   0 |4010 |1599 |4144 |3122 | 48 |   0 |   0 | 1.733850e+05 | 7.503674e+05 | 332.78%| unknown
 20.8s|     1 |     0 | 41623 |     - |    82M |   0 |4010 |1599 |4145 |3123 | 49 |   0 |   0 | 1.733851e+05 | 7.503674e+05 | 332.77%| unknown
L34.3s|     1 |     0 | 51689 |     - |    rens|   0 |4010 |1599 |4145 |3123 | 49 |   0 |   0 | 1.733851e+05 | 4.007975e+05 | 131.16%| unknown
L35.3s|     1 |     0 | 51689 |     - |    alns|   0 |4010 |1599 |4145 |3123 | 49 |   0 |   0 | 1.733851e+05 | 3.141090e+05 |  81.16%| unknown
d42.7s|     1 |     0 | 51689 |     - |    mpec|   0 |4010 |1599 |4145 |3123 | 49 |   0 |   0 | 1.733851e+05 | 2.902201e+05 |  67.38%| unknown
 42.8s|     1 |     0 | 51689 |     - |    87M |   0 |4010 |1599 |4145 |3123 | 49 |   0 |   0 | 1.733851e+05 | 2.902201e+05 |  67.38%| unknown
 43.0s|     1 |     2 | 51689 |     - |    87M |   0 |4010 |1599 |4145 |3123 | 51 |   0 |   6 | 1.735843e+05 | 2.902201e+05 |  67.19%| unknown
 59.7s|   100 |   101 | 58189 | 328.8 |    97M |  23 |4010 |1599 |4119 |4981 |  1 |   0 |  53 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 78.6s|   200 |   201 | 59857 | 172.0 |   102M |  51 |4010 |1599 |4094 |5724 |  4 |   0 |  54 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
  118s|   300 |   301 | 61071 | 118.5 |   103M |  63 |4010 |1599 |4175 |6421 |  5 |   0 |  54 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
  153s|   400 |   401 | 61609 |  90.2 |   103M |  65 |4010 |1599 |4097 |6674 |  1 |   0 |  54 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
  181s|   500 |   501 | 63129 |  75.1 |   103M |  71 |4010 |1599 |4093 |7366 |  3 |   0 |  54 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
  185s|   600 |   601 | 64916 |  65.6 |   104M |  71 |4010 |1599 |4167 |8148 |  3 |   0 |  54 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
  195s|   700 |   701 | 69541 |  62.8 |   105M |  71 |4010 |1599 |4319 |  10k|  3 |   0 |  54 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
  203s|   800 |   801 | 74349 |  61.0 |   105M |  71 |4010 |1599 |4187 |  11k|  4 |   0 |  54 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
  212s|   900 |   901 | 76823 |  56.9 |   106M |  71 |4010 |1599 |4095 |  12k|  2 |   0 |  54 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
  219s|  1000 |  1001 | 80715 |  55.1 |   107M |  71 |4010 |1599 |4136 |  14k|  3 |   0 |  54 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
  227s|  1100 |  1099 | 87078 |  55.9 |   108M |  71 |4010 |1599 |4293 |  16k|  3 |   0 |  54 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
  234s|  1200 |  1199 | 94697 |  57.6 |   109M |  71 |4010 |1599 |4322 |  19k|  9 |   0 |  54 | 1.754028e+05 | 2.902201e+05 |  65.46%| unknown
  244s|  1300 |  1293 |101872 |  58.7 |   110M |  71 |4010 |1599 |4088 |  22k|  3 |   0 |  54 | 1.754340e+05 | 2.902201e+05 |  65.43%| unknown
  252s|  1400 |  1393 |111008 |  61.0 |   112M |  71 |4010 |1599 |4341 |  25k| 10 |   0 |  54 | 1.754443e+05 | 2.902201e+05 |  65.42%| unknown
  260s|  1500 |  1493 |116709 |  60.8 |   114M |  71 |4010 |1599 |4139 |  27k|  6 |   0 |  54 | 1.754539e+05 | 2.902201e+05 |  65.41%| unknown
  267s|  1600 |  1593 |125489 |  62.4 |   116M |  71 |4010 |1599 |4273 |  31k|  1 |   0 |  54 | 1.754539e+05 | 2.902201e+05 |  65.41%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  283s|  1700 |  1693 |130536 |  61.7 |   120M |  71 |4010 |1599 |4102 |  33k|  3 |   0 |  54 | 1.754751e+05 | 2.902201e+05 |  65.39%| unknown
  290s|  1800 |  1793 |134187 |  60.3 |   120M |  71 |4010 |1599 |4311 |  34k|  4 |   0 |  54 | 1.754893e+05 | 2.902201e+05 |  65.38%| unknown
  297s|  1900 |  1893 |141081 |  60.8 |   123M |  71 |4010 |1599 |4121 |  37k|  9 |   0 |  54 | 1.754893e+05 | 2.902201e+05 |  65.38%| unknown
  304s|  2000 |  1993 |147537 |  61.0 |   124M |  71 |4010 |1599 |4091 |  39k|  3 |   0 |  54 | 1.754893e+05 | 2.902201e+05 |  65.38%| unknown
  312s|  2100 |  2093 |150516 |  59.5 |   125M |  71 |4010 |1599 |4138 |  40k| 10 |   0 |  54 | 1.754898e+05 | 2.902201e+05 |  65.38%| unknown
  327s|  2200 |  2193 |154404 |  58.6 |   125M |  71 |4010 |1599 |4331 |  42k|  6 |   0 |  54 | 1.755008e+05 | 2.902201e+05 |  65.37%| unknown
  333s|  2300 |  2293 |159469 |  58.2 |   127M |  71 |4010 |1599 |4166 |  43k|  4 |   0 |  54 | 1.755235e+05 | 2.902201e+05 |  65.35%| unknown
  339s|  2400 |  2393 |163806 |  57.6 |   128M |  71 |4010 |1599 |4328 |  45k|  3 |   0 |  54 | 1.755620e+05 | 2.902201e+05 |  65.31%| unknown
  347s|  2500 |  2493 |169134 |  57.4 |   129M |  71 |4010 |1599 |4109 |  47k|  7 |   0 |  54 | 1.755801e+05 | 2.902201e+05 |  65.29%| unknown
  355s|  2600 |  2593 |172516 |  56.5 |   130M |  71 |4010 |1599 |4137 |  48k|  9 |   0 |  54 | 1.755801e+05 | 2.902201e+05 |  65.29%| unknown
  363s|  2700 |  2693 |178170 |  56.5 |   133M |  71 |4010 |1599 |4155 |  50k|  8 |   0 |  54 | 1.755923e+05 | 2.902201e+05 |  65.28%| unknown
  370s|  2800 |  2793 |182232 |  55.9 |   133M |  71 |4010 |1599 |4128 |  52k|  1 |   0 |  54 | 1.756111e+05 | 2.902201e+05 |  65.26%| unknown
  380s|  2900 |  2893 |187602 |  55.9 |   135M |  71 |4010 |1599 |4114 |  54k|  5 |   0 |  54 | 1.756211e+05 | 2.902201e+05 |  65.25%| unknown
  389s|  3000 |  2993 |191666 |  55.4 |   136M |  71 |4010 |1599 |4137 |  55k| 10 |   0 |  54 | 1.756264e+05 | 2.902201e+05 |  65.25%| unknown
  397s|  3100 |  3093 |195387 |  54.8 |   137M |  71 |4010 |1599 |4141 |  56k|  9 |   0 |  54 | 1.756264e+05 | 2.902201e+05 |  65.25%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  404s|  3200 |  3193 |198831 |  54.1 |   137M |  71 |4010 |1599 |4107 |  57k|  1 |   0 |  54 | 1.756759e+05 | 2.902201e+05 |  65.20%| unknown
  412s|  3300 |  3293 |203109 |  53.8 |   137M |  71 |4010 |1599 |4385 |  59k|  9 |   0 |  55 | 1.756800e+05 | 2.902201e+05 |  65.20%| unknown
  419s|  3400 |  3393 |206160 |  53.1 |   138M |  71 |4010 |1599 |4146 |  60k|  9 |   0 |  55 | 1.756800e+05 | 2.902201e+05 |  65.20%| unknown
  426s|  3500 |  3493 |210392 |  52.8 |   141M |  71 |4010 |1599 |4108 |  61k|  1 |   0 |  55 | 1.756800e+05 | 2.902201e+05 |  65.20%| unknown
  435s|  3600 |  3593 |217145 |  53.2 |   143M |  71 |4010 |1599 |4101 |  64k|  1 |   0 |  56 | 1.757059e+05 | 2.902201e+05 |  65.17%| unknown
  443s|  3700 |  3693 |223977 |  53.6 |   145M |  71 |4010 |1599 |4104 |  67k|  3 |   0 |  56 | 1.757172e+05 | 2.902201e+05 |  65.16%| unknown
